Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65f32abf1bff6ace6506cfff,5ee93a8aa43b042d2529faec,APPROVED,Not Applicable,2024-03-14T16:50:07.137000Z,2024-03-14T16:57:52.375000Z,2024-03-14T17:01:31.358000Z,2024-03-14T16:57:52.875723Z,466.0,C1JX727W,391,"English, Italian",28,Female,White,Italy,Italy,Italy,Italian,No,Unemployed (and job seeking)
65f32abf3999dbc20efdee81,6011b0e5ca080812ed84545c,APPROVED,Not Applicable,2024-03-14T16:50:07.679000Z,2024-03-14T17:20:45.129000Z,2024-03-14T17:20:49.459000Z,2024-03-14T17:20:45.616177Z,1838.0,C1JX727W,71,"English, German, Polish, Russian",21,Female,Mixed,Poland,Poland,Poland,Polish,No,Part-Time
65f32ac0e6c1007df58aab32,615db8241e7c3ede6ac8d4c9,AWAITING REVIEW,Not Applicable,2024-03-14T16:52:16.555000Z,2024-03-14T16:58:57.384000Z,,2024-03-14T16:58:57.961378Z,401.0,C4HFM5K7,234,English,22,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
65f32ac67f7b1792e4fb9f4c,5fd77bb5246a37086f19c67c,APPROVED,Not Applicable,2024-03-14T16:50:14.879000Z,2024-03-14T17:08:26.424000Z,2024-03-14T17:08:29.368000Z,2024-03-14T17:08:27.092604Z,1092.0,C1JX727W,199,"English, French, Portuguese, Spanish",22,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65f32ac83aeb2ab580093117,616c900d5c7b234f92b4a930,APPROVED,Not Applicable,2024-03-14T16:55:32.285000Z,2024-03-14T17:19:13.598000Z,2024-03-14T17:19:35.351000Z,2024-03-14T17:19:14.114364Z,1422.0,C1JX727W,475,English,26,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
65f32acd20c74158f1defdec,65de5701fbc3bd908e641517,APPROVED,Not Applicable,2024-03-14T16:50:33.015000Z,2024-03-14T17:20:21.516000Z,2024-03-14T17:20:39.452000Z,2024-03-14T17:20:22.063562Z,1789.0,C1JX727W,5,English,30,Female,White,Ukraine,Canada,Ukraine,Russian,No,Unemployed (and job seeking)
65f32ad6f39975aea5b2133d,5980f6ed06cd1f0001f8d659,APPROVED,Not Applicable,2024-03-14T16:50:33Z,2024-03-14T17:00:50.722000Z,2024-03-14T17:01:36.600000Z,2024-03-14T17:03:38.947282Z,618.0,C1JX727W,101,"English, Polish",48,Female,White,Poland,Poland,Poland,Polish,No,Full-Time
65f32ad9b5fa898f0237fe19,65e73f2249c9db4b8f386efc,APPROVED,Not Applicable,2024-03-14T16:51:21.831000Z,2024-03-14T17:35:54.247000Z,2024-03-14T17:37:32.404000Z,2024-03-14T17:35:54.732525Z,2673.0,C1JX727W,1,"English, Swedish",33,Female,Other,Mexico,Mexico,Mexico,English,No,Full-Time
65f32adae13fca944ca217e5,605266f40d5ed95a44c3d607,APPROVED,Not Applicable,2024-03-14T16:50:40.868000Z,2024-03-14T17:03:32.617000Z,2024-03-14T17:03:47.184000Z,2024-03-14T17:04:11.129571Z,772.0,C1JX727W,117,"English, Spanish",24,Female,Mixed,Mexico,Mexico,Mexico,Spanish,No,Part-Time
65f32adc7f7b1792e4fb9f55,60e7218db2691424068d718c,APPROVED,Not Applicable,2024-03-14T16:51:33.089000Z,2024-03-14T17:22:08.193000Z,2024-03-14T17:22:17.543000Z,2024-03-14T17:22:08.788343Z,1836.0,C1JX727W,600,English,31,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
65f32ae418b94606c3157246,610722268e5e431a1ca2ee27,APPROVED,Not Applicable,2024-03-14T16:50:44.557000Z,2024-03-14T17:01:06.437000Z,2024-03-14T17:02:03.040000Z,2024-03-14T17:03:46.922575Z,622.0,C1JX727W,293,"English, Hebrew, Russian",31,Female,White,Ukraine,Israel,Ukraine,Russian,No,Unemployed (and job seeking)
65f32ae638d5a7840edbd6e4,6128f7c06a0eba3378ffb1c3,APPROVED,Not Applicable,2024-03-14T16:50:46.521000Z,2024-03-14T17:12:54.082000Z,2024-03-14T17:13:01.274000Z,2024-03-14T17:12:54.658073Z,1328.0,C1JX727W,365,"English, Polish",33,Female,White,Poland,Poland,Poland,Polish,Yes,Full-Time
65f32ae79f6e44f4934c93c7,631728aaf6983de240179e5f,APPROVED,Not Applicable,2024-03-14T16:51:29.376000Z,2024-03-14T17:16:54.373000Z,2024-03-14T17:17:12.583000Z,2024-03-14T17:16:54.979512Z,1525.0,C1JX727W,154,"Dutch, English, Polish",31,Female,White,Poland,Netherlands,Poland,Polish,No,Full-Time
65f32aea96c129445eec2730,6120b4fca2fedeb88787374c,AWAITING REVIEW,Not Applicable,2024-03-14T16:55:40.904000Z,2024-03-14T17:03:59.532000Z,,2024-03-14T17:04:20.762109Z,499.0,C1B1RTDT,202,English,23,Female,Black,Lesotho,South Africa,Lesotho,English,DATA_EXPIRED,DATA_EXPIRED
65f32af1f98cb728bce0f699,5fbad1fdefe4a5b5967417db,APPROVED,Not Applicable,2024-03-14T16:50:57.382000Z,2024-03-14T17:15:04.100000Z,2024-03-14T17:15:31.929000Z,2024-03-14T17:15:04.665781Z,1447.0,C1JX727W,509,"English, German, Portuguese, Spanish",50,Female,White,Portugal,Portugal,Portugal,Portuguese,No,DATA_EXPIRED
